Type of cancer,Min,Max
Liver cancer,2177898,2905676
Kidney cancer,463841,1019173
Lip and oral cavity cancer,580480,1144306
Tracheal bronchus and lung cancer,6746588,12292437
Larynx cancer,527995,711554
Gallbladder and biliary tract cancer,598673,1032046
Malignant skin melanoma,214256,396399
Leukemia,1591159,1992509
Hodgkin lymphoma,150519,165777
Multiple myeloma,335232,700492
Other neoplasms,151602,364089
Breast cancer,2377331,4109166
Prostate cancer,1475430,2896643
Thyroid cancer,139766,264755
Stomach cancer,4803439,5713180
Bladder cancer,773401,1388672
Uterine cancer,347035,549181
Ovarian cancer,626024,1181553
Cervical cancer,1078485,1592567
Brain and central nervous system cancer,859081,1466042
Non-Hodgkin lymphoma,795774,1531806
Pancreatic cancer,1282999,3213466
Esophageal cancer,1929248,2899793
Testicular cancer,44363,63112
Nasopharynx cancer,313541,405563
Other pharynx cancer,310947,663036
Colon and rectum cancer,3311915,6494050
Non-melanoma skin cancer,144156,333954
Mesothelioma,102526,189835
